rank_overall,performance,date,length,name,nationality,yob,rank_edition,gender,rank_gender,age_cat,rank_cat,finish_hours,year,tier
1,14:39:44 h,03.-12.04.1988,220km/6stages,"Gaudin, Bernard",FRA,1949.0,1,M,1,M35,1,14.662222222222223,1988,ELITE
2,15:18:15 h,03.-12.04.1988,220km/6stages,"Graig, Patrick",FRA,,2,M,2,#NA,,15.304166666666667,1988,ELITE
3,16:22:29 h,29.03.-04.04.1998,229km/6stages,"Ahansal, Mohamad",MAR,1973.0,1,M,1,M20,1,16.37472222222222,1998,ELITE
4,16:24:11 h,03.-12.04.1988,220km/6stages,"Monnery, Patrick",FRA,,3,M,3,#NA,,16.403055555555554,1988,ELITE
5,16:27:26 h,30.03.-04.04.2009,202.2km/4stages,"Ahansal, Mohamad",MAR,1973.0,1,M,1,M35,1,16.45722222222222,2009,ELITE
6,16:31:40 h,30.03.-04.04.2009,202.2km/4stages,"El Akad, Aziz",MAR,1968.0,2,M,2,M40,1,16.52777777777778,2009,ELITE
7,16:34:32 h,29.03.-04.04.1998,229km/6stages,"Ahansal, Lahcen",MAR,1971.0,2,M,2,M20,2,16.575555555555557,1998,ELITE
8,16:40:43 h,19.-25.03.1989,209km/6stages,"Sebtaoui, Hassan",FRA,,1,M,1,#NA,,16.678611111111113,1989,ELITE
9,16:51:50 h,03.-12.04.1988,220km/6stages,"Letailleur, Patrick",FRA,,4,M,4,#NA,,16.86388888888889,1988,ELITE
10,16:55:46 h,09.-18.04.1994,220km/6stages,"Derksen, Andrei",RUS,1964.0,1,M,1,M30,1,16.929444444444446,1994,ELITE
11,17:13:58 h,07.-12.04.1997,220km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M20,1,17.232777777777777,1997,ELITE
12,17:14:01 h,09.-15.04.2006,212km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M35,1,17.233611111111113,2006,ELITE
13,17:15:01 h,02.-12.04.1999,225km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M20,1,17.25027777777778,1999,ELITE
14,17:15:06 h,30.03.-04.04.2009,202.2km/4stages,"Al-Aqra, Salameh",JOR,1970.0,3,M,3,M35,2,17.251666666666665,2009,ELITE
15,17:16:01 h,03.-12.04.1988,220km/6stages,"Mussard, Armand",FRA,,5,M,5,#NA,,17.266944444444444,1988,ELITE
16,17:22:52 h,09.-18.04.1994,220km/6stages,"Corredor Arribas, Jesus Julian",ESP,1959.0,2,M,2,M35,1,17.38111111111111,1994,ELITE
17,17:25:06 h,25.-31.03.2007,221km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M35,1,17.418333333333333,2007,ELITE
18,17:26:41 h,19.-25.03.1989,209km/6stages,"Mailly, Noel",FRA,1952.0,2,M,2,M35,1,17.44472222222222,1989,ELITE
19,17:31:36 h,02.-12.04.1999,225km/6stages,"Bernabei, Fabrizio",ITA,1967.0,2,M,2,M30,1,17.526666666666667,1999,ELITE
20,17:36:51 h,25.-31.03.2007,221km/6stages,"Ahansal, Mohamad",MAR,1973.0,2,M,2,M30,1,17.61416666666667,2007,ELITE
21,17:41:24 h,03.-12.04.1988,220km/6stages,"Pol, Yves",FRA,1953.0,6,M,6,M35,2,17.69,1988,ELITE
22,17:44:47 h,11.-17.04.2004,237km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M30,1,17.74638888888889,2004,ELITE
23,17:47:20 h,29.03.-04.04.1998,229km/6stages,"Bernabei, Fabrizio",ITA,1967.0,3,M,3,M30,1,17.78888888888889,1998,ELITE
24,17:48:45 h,09.-15.04.2006,212km/6stages,"Al-Aqra, Salameh",JOR,1970.0,2,M,2,M35,2,17.8125,2006,ELITE
25,17:51:40 h,03.-12.04.1988,220km/6stages,"Klauss, Gerald",FRA,1961.0,7,M,7,M20,1,17.861111111111114,1988,ELITE
26,17:52:02 h,07.-12.04.1997,220km/6stages,"Corredor Arribas, Jesus Julian",ESP,1959.0,2,M,2,M35,1,17.86722222222222,1997,ELITE
27,17:57:19 h,07.-12.04.1997,220km/6stages,"Olmo, Marco",ITA,1948.0,3,M,3,M45,1,17.955277777777777,1997,ELITE
28,17:59:26 h,25.-31.03.2007,221km/6stages,"El Akad, Aziz",MAR,1968.0,3,M,3,M35,2,17.990555555555556,2007,ELITE
29,18:01:04 h,29.03.-04.04.1998,229km/6stages,"Olmo, Marco",ITA,1948.0,4,M,4,M50,1,18.017777777777777,1998,ELITE
30,18:01:47 h,19.-25.03.1989,209km/6stages,"Monnery, Patrick",FRA,,3,M,3,#NA,,18.029722222222222,1989,ELITE
31,18:03:25 h,04.-10.04.2000,220km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M20,1,18.056944444444444,2000,ELITE
32,18:07:46 h,11.-17.04.2004,237km/6stages,"Ahansal, Mohamad",MAR,1973.0,2,M,2,M30,2,18.129444444444445,2004,ELITE
33,18:09:32 h,22.-28.04.1991,219km/6stages,"Sebtaoui, Hassan",FRA,,1,M,1,#NA,,18.15888888888889,1991,ELITE
34,18:13:32 h,07.-12.04.1997,220km/6stages,"Derksen, Andrei",RUS,1964.0,4,M,4,M30,1,18.225555555555555,1997,ELITE
35,18:14:35 h,30.03.-04.04.2009,202.2km/4stages,"Vencelj, Anton",SLO,1972.0,4,M,4,M35,3,18.243055555555557,2009,ELITE
36,18:16:37 h,30.03.-04.04.2009,202.2km/4stages,"Ait Amar, Mustapha",MAR,1974.0,5,M,5,M35,4,18.276944444444442,2009,ELITE
37,18:18:18 h,03.-12.04.1988,220km/6stages,"Babbolin, Giuseppe",ITA,1938.0,8,M,8,M50,1,18.305,1988,ELITE
38,18:18:55 h,02.-12.04.1999,225km/6stages,"Olmo, Marco",ITA,1948.0,3,M,3,M50,1,18.31527777777778,1999,ELITE
39,18:20:04 h,29.03.-04.04.1998,229km/6stages,"Diehl, Gilles",FRA,1960.0,5,M,5,M35,1,18.334444444444443,1998,ELITE
40,18:21:32 h,04.-10.04.1995,230km/6stages,"Derksen, Andrei",RUS,1964.0,1,M,1,M30,1,18.35888888888889,1995,ELITE
41,18:23:16 h,07.-13.04.2002,230km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M30,1,18.387777777777778,2002,ELITE
42,18:24:07 h,09.-15.04.2006,212km/6stages,"Maliki, Abderrahmane",MAR,1967.0,3,M,3,M35,3,18.401944444444442,2006,ELITE
43,18:24:49 h,02.-12.04.1999,225km/6stages,"Diehl, Gilles",FRA,1960.0,4,M,4,M35,1,18.41361111111111,1999,ELITE
44,18:25:56 h,07.-12.04.1997,220km/6stages,"Osuna Gomez, Francisco",ESP,,5,M,5,#NA,,18.432222222222222,1997,ELITE
45,18:27:15 h,04.-10.04.2000,220km/6stages,"Ahansal, Mohamad",MAR,1973.0,2,M,2,M20,2,18.454166666666666,2000,ELITE
46,18:28:08 h,19.-25.03.1989,209km/6stages,"Letailleur, Patrick",FRA,,4,M,4,#NA,,18.468888888888888,1989,ELITE
47,18:29:38 h,15.-24.03.1990,220km/6stages,"Sebtaoui, Hassan",FRA,,1,M,1,#NA,,18.49388888888889,1990,ELITE
48,18:30:45 h,25.-31.03.2007,221km/6stages,"Aubeso Martinez, Jorge",ESP,1966.0,4,M,4,M40,1,18.5125,2007,ELITE
49,18:31:24 h,07.-13.04.2019,237km/6stages,"El Morabity, Rachid",MAR,1982.0,1,M,1,M35,1,18.523333333333333,2019,ELITE
50,18:32:13 h,09.-18.04.1994,220km/6stages,"Joly, Jean-Michel",FRA,1966.0,3,M,3,M20,1,18.536944444444448,1994,ELITE
51,18:33:02 h,22.-28.04.1991,219km/6stages,"Gaudin, Bernard",FRA,1949.0,2,M,2,M40,1,18.550555555555555,1991,ELITE
52,18:33:24 h,07.-13.04.2002,230km/6stages,"Ahansal, Mohamad",MAR,1973.0,2,M,2,M20,1,18.55666666666667,2002,ELITE
53,18:33:28 h,25.03.-04.04.2022,250km/6stages,"El Morabity, Rachid",MAR,1982.0,1,M,1,M40,1,18.55777777777778,2022,ELITE
54,18:33:56 h,03.-12.04.1988,220km/6stages,"Woelfflin, Christian",FRA,1946.0,9,M,9,M40,1,18.565555555555555,1988,ELITE
55,18:34:29 h,02.-12.04.1999,225km/6stages,"Gozzano, Marco",ITA,1963.0,5,M,5,M35,2,18.57472222222222,1999,ELITE
56,18:34:34 h,25.03.-04.04.2022,250km/6stages,"El-Morabity, Mohamed",MAR,1992.0,2,M,2,M30,1,18.57611111111111,2022,ELITE
57,18:36:04 h,03.-12.04.1988,220km/6stages,"Lazzaroti, Marc",FRA,,10,M,10,#NA,,18.601111111111113,1988,ELITE
58,18:37:46 h,25.03.-04.04.2022,250km/6stages,"Yachou, Aziz",MAR,1993.0,3,M,3,M20,1,18.629444444444445,2022,ELITE
59,18:38:23 h,04.-10.04.1995,230km/6stages,"Joly, Jean-Michel",FRA,1966.0,2,M,2,M20,1,18.639722222222222,1995,ELITE
60,18:38:50 h,07.-12.04.1997,220km/6stages,"Medrano, Javier",ESP,,6,M,6,#NA,,18.647222222222222,1997,ELITE
61,18:39:48 h,07.-13.04.2019,237km/6stages,"El-Morabity, Mohamed",MAR,1992.0,2,M,2,M20,1,18.66333333333333,2019,ELITE
62,18:41:31 h,09.-18.04.1994,220km/6stages,"Daviot, Jean-Pierre",FRA,,4,M,4,#NA,,18.691944444444445,1994,ELITE
63,18:41:45 h,09.-15.04.2006,212km/6stages,"Ahansal, Mohamad",MAR,1973.0,4,M,4,M30,1,18.695833333333333,2006,ELITE
64,18:41:53 h,30.03.-04.04.2009,202.2km/4stages,"Trincheri, Lorenzo",ITA,1970.0,6,M,6,M35,5,18.698055555555555,2009,ELITE
65,18:42:10 h,01.-07.04.2001,243km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M30,1,18.702777777777776,2001,ELITE
66,18:43:32 h,30.03.-04.04.2009,202.2km/4stages,"Akhdar, Samir",MAR,1981.0,7,M,7,M20,1,18.725555555555555,2009,ELITE
67,18:44:49 h,30.03.-04.04.2009,202.2km/4stages,"Wardian, Michael (Mike)",USA,1974.0,8,M,8,M35,6,18.746944444444445,2009,ELITE
68,18:44:58 h,19.-25.03.1989,209km/6stages,"Poyet, Alain",FRA,1954.0,5,M,5,M35,2,18.749444444444446,1989,ELITE
69,18:45:13 h,19.-25.03.1989,209km/6stages,"Robert, Serge",FRA,1960.0,6,M,6,M20,1,18.753611111111113,1989,ELITE
70,18:45:47 h,09.-18.04.1994,220km/6stages,"Ahansal, Lahcen",MAR,1971.0,5,M,5,M20,2,18.763055555555557,1994,ELITE
71,18:46:44 h,03.-12.04.1988,220km/6stages,"Mazereel, Michel",FRA,1944.0,11,M,11,M40,2,18.778888888888886,1988,ELITE
72,18:47:05 h,03.-12.04.1988,220km/6stages,"Monot, Jean-Michel",FRA,1960.0,12,M,12,M20,2,18.784722222222225,1988,ELITE
73,18:49:09 h,11.-17.04.2004,237km/6stages,"Oulmyr, Hassan",MAR,1974.0,3,M,3,M30,3,18.819166666666668,2004,ELITE
74,18:49:57 h,11.-22.04.1992,231km/6stages,"Bensalah, Mohamed",MAR,,1,M,1,#NA,,18.8325,1992,ELITE
75,18:50:10 h,19.-25.03.1989,209km/6stages,"Gaudin, Bernard",FRA,1949.0,7,M,7,M40,1,18.83611111111111,1989,ELITE
76,18:50:50 h,30.03.-04.04.2009,202.2km/4stages,"Olivar Roldan, Aurelio Antonio",ESP,1968.0,9,M,9,M40,2,18.84722222222222,2009,ELITE
77,18:51:48 h,15.-24.03.1990,220km/6stages,"Carrier, Philippe",FRA,1957.0,2,M,2,M30,1,18.863333333333333,1990,ELITE
78,18:51:55 h,29.03.-04.04.1998,229km/6stages,"Gozzano, Marco",ITA,1963.0,6,M,6,M35,2,18.86527777777778,1998,ELITE
79,18:52:26 h,04.-10.04.2000,220km/6stages,"Diehl, Gilles",FRA,1960.0,3,M,3,M40,1,18.87388888888889,2000,ELITE
80,18:54:44 h,04.-10.04.2000,220km/6stages,"Fernandez Atienza, Jose Maria",ESP,,4,M,4,#NA,,18.91222222222222,2000,ELITE
81,18:54:48 h,07.-12.04.1997,220km/6stages,"Collado Santos, Andres",ESP,1962.0,7,M,7,M35,2,18.91333333333333,1997,ELITE
82,18:55:33 h,09.-15.04.2006,212km/6stages,"Akhdar, Lhoucine",MAR,1974.0,5,M,5,M30,2,18.925833333333333,2006,ELITE
83,18:56:08 h,06.-12.04.2003,243km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M30,1,18.935555555555556,2003,ELITE
84,18:59:15 h,06.-12.04.2003,243km/6stages,"Ahansal, Mohamad",MAR,1973.0,2,M,2,M30,2,18.9875,2003,ELITE
85,18:59:35 h,05.-15.04.2013,250.7km/6stages,"Ahansal, Mohamad",MAR,1973.0,1,M,1,M40,1,18.993055555555557,2013,ELITE
86,19:01:02 h,30.03.-04.04.2009,202.2km/4stages,"Gomez Camacho, Julio",ESP,1966.0,10,M,10,M40,3,19.01722222222222,2009,ELITE
87,19:05:34 h,30.03.-04.04.2009,202.2km/4stages,"Akhdar, Lhoucine",MAR,1974.0,11,M,11,M35,7,19.092777777777776,2009,ELITE
88,19:08:33 h,07.-12.04.1997,220km/6stages,"Majchrzak, Oliver",GER,,8,M,8,#NA,,19.1425,1997,ELITE
89,19:08:53 h,15.-24.03.1990,220km/6stages,"Gaudin, Bernard",FRA,1949.0,3,M,3,M40,1,19.148055555555555,1990,ELITE
90,19:09:04 h,10.-16.04.2005,245.7km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M30,1,19.15111111111111,2005,ELITE
91,19:10:58 h,22.-28.04.1991,219km/6stages,"Mailly, Noel",FRA,1952.0,3,M,3,M35,1,19.18277777777778,1991,ELITE
92,19:11:18 h,07.-12.04.1997,220km/6stages,"Akhdar, Lhoucine",MAR,1974.0,9,M,9,M20,2,19.188333333333333,1997,ELITE
93,19:11:38 h,04.-10.04.1995,230km/6stages,"Costa, Patrice",FRA,,3,M,3,#NA,,19.19388888888889,1995,ELITE
94,19:13:24 h,02.-12.04.1999,225km/6stages,"Osuna Gomez, Francisco",ESP,,6,M,6,#NA,,19.223333333333333,1999,ELITE
95,19:15:04 h,09.-15.04.2006,212km/6stages,"Akhdar, Samir",MAR,1981.0,6,M,6,M20,1,19.25111111111111,2006,ELITE
96,19:15:23 h,09.-15.04.2017,250km/6stages,"El Morabity, Rachid",MAR,1982.0,1,M,1,M35,1,19.25638888888889,2017,ELITE
97,19:15:36 h,07.-12.04.1997,220km/6stages,"Ahansal, Mohamad",MAR,1973.0,10,M,10,M20,3,19.26,1997,ELITE
98,19:16:09 h,03.-12.04.1988,220km/6stages,"Gaujour, Patrice",FRA,,13,M,13,#NA,,19.269166666666667,1988,ELITE
99,19:16:59 h,10.-16.04.2005,245.7km/6stages,"Ahansal, Mohamad",MAR,1973.0,2,M,2,M30,2,19.283055555555556,2005,ELITE
100,19:17:31 h,22.-28.04.1991,219km/6stages,"Daviot, Jean-Pierre",FRA,,4,M,4,#NA,,19.291944444444447,1991,ELITE
101,19:18:34 h,19.-25.03.1989,209km/6stages,"Mondon, Maurice",FRA,1950.0,8,M,8,M35,3,19.309444444444445,1989,ELITE
102,19:19:34 h,09.-18.04.1994,220km/6stages,"Mosta, Karim",MAR,1954.0,6,M,6,M40,1,19.32611111111111,1994,ELITE
103,19:19:54 h,21.04.-01.05.2023,250km/6stages,"El-Morabity, Mohamed",MAR,1992.0,1,M,1,M30,1,19.331666666666667,2023,ELITE
104,19:20:58 h,04.-10.04.1996,220km/6stages,"Derksen, Andrei",RUS,1964.0,1,M,1,M30,1,19.349444444444444,1996,ELITE
105,19:21:20 h,07.-13.04.2019,237km/6stages,"Baghazza, Abdelaziz",MAR,1995.0,3,M,3,M20,2,19.355555555555558,2019,ELITE
106,19:21:46 h,02.-12.04.1999,225km/6stages,"Akhdar, Brahim",MAR,,7,M,7,#NA,,19.36277777777778,1999,ELITE
107,19:22:06 h,03.-12.04.1988,220km/6stages,"El Machrouh, N.N.",MAR,,14,M,14,#NA,,19.368333333333332,1988,ELITE
108,19:26:03 h,29.03.-04.04.1993,200km/6stages,"Bensalah, Mohamed",MAR,,1,M,1,#NA,,19.434166666666666,1993,ELITE
109,19:26:45 h,03.-12.04.1987,220km/6stages,"Gaudin, Bernard",FRA,1949.0,1,M,1,M35,1,19.445833333333333,1987,ELITE
110,19:27:46 h,30.03.-05.04.2008,245.3km/6stages,"Ahansal, Mohamad",MAR,1973.0,1,M,1,M35,1,19.462777777777777,2008,ELITE
111,19:28:06 h,22.-28.04.1991,219km/6stages,"Medrano Sanchez, Javier",ESP,1955.0,5,M,5,M35,2,19.46833333333333,1991,ELITE
112,19:28:20 h,02.-12.04.1999,225km/6stages,"Maqueda Lop, Salvador",ESP,,8,M,8,#NA,,19.47222222222222,1999,ELITE
113,19:28:45 h,04.-10.04.1996,220km/6stages,"Costa, Patrice",FRA,,2,M,2,#NA,,19.479166666666664,1996,ELITE
114,19:28:59 h,15.-24.03.1990,220km/6stages,"Mailly, Noel",FRA,1952.0,4,M,4,M35,1,19.483055555555556,1990,ELITE
115,19:29:09 h,21.04.-01.05.2023,250km/6stages,"Yachou, Aziz",MAR,1993.0,2,M,2,M30,2,19.485833333333336,2023,ELITE
116,19:29:50 h,09.-18.04.1994,220km/6stages,"Löw, Andras",HUN,1967.0,7,M,7,M20,3,19.497222222222224,1994,ELITE
117,19:32:19 h,02.-12.04.1999,225km/6stages,"Ait Amar, Mustapha",MAR,1974.0,9,M,9,M20,2,19.538611111111113,1999,ELITE
118,19:33:06 h,09.-15.04.2006,212km/6stages,"Eveno, Lionel",FRA,1963.0,7,M,7,M40,1,19.551666666666666,2006,ELITE
119,19:33:49 h,02.-12.04.1999,225km/6stages,"Corredor Arribas, Jesus Julian",ESP,1959.0,10,M,10,M40,1,19.56361111111111,1999,ELITE
120,19:35:23 h,01.-07.04.2001,243km/6stages,"Ahansal, Mohamad",MAR,1973.0,2,M,2,M20,1,19.58972222222222,2001,ELITE
121,19:35:46 h,03.-12.04.1988,220km/6stages,"Ginter, Christian",FRA,1954.0,15,M,15,M30,1,19.59611111111111,1988,ELITE
122,19:35:49 h,08.-14.04.2018,237km/6stages,"El Morabity, Rachid",MAR,1982.0,1,M,1,M35,1,19.596944444444443,2018,ELITE
123,19:37:57 h,19.-25.03.1989,209km/6stages,"Fleureau, Jean-Pierre",FRA,,9,M,9,#NA,,19.6325,1989,ELITE
124,19:38:21 h,09.-15.04.2017,250km/6stages,"El-Morabity, Mohamed",MAR,1992.0,2,M,2,M20,1,19.639166666666664,2017,ELITE
125,19:38:56 h,07.-13.04.2019,237km/6stages,"El Mouaziz, Abdelkader",MAR,1969.0,4,M,4,M50,1,19.648888888888887,2019,ELITE
126,19:39:35 h,25.-31.03.2007,221km/6stages,"Remond, Philippe",FRA,1963.0,5,M,5,M40,2,19.65972222222222,2007,ELITE
127,19:39:46 h,07.-12.04.1997,220km/6stages,"Malerba, Mario",ITA,1957.0,11,M,11,M40,1,19.662777777777777,1997,ELITE
128,19:40:33 h,09.-15.04.2006,212km/6stages,"Caillibot, Denis",FRA,1965.0,8,M,8,M40,2,19.675833333333333,2006,ELITE
129,19:40:57 h,29.03.-04.04.1998,229km/6stages,"Medrano, Javier",ESP,,7,M,7,#NA,,19.6825,1998,ELITE
130,19:41:15 h,05.-15.04.2013,250.7km/6stages,"Al-Aqra, Salameh",JOR,1970.0,2,M,2,M40,2,19.6875,2013,ELITE
131,19:42:26 h,09.-18.04.1994,220km/6stages,"Malerba, Mario",ITA,1957.0,8,M,8,M35,2,19.70722222222222,1994,ELITE
132,19:43:22 h,30.03.-04.04.2009,202.2km/4stages,"Olmo, Marco",ITA,1948.0,12,M,12,M60,1,19.722777777777775,2009,ELITE
133,19:43:47 h,07.-13.04.2019,237km/6stages,"Alongi, Antonio Amedeo Mario",ITA,1986.0,5,M,5,M30,1,19.72972222222222,2019,ELITE
134,19:44:07 h,11.-22.04.1992,231km/6stages,"Rebier, Jean-Marc",FRA,,2,M,2,#NA,,19.735277777777778,1992,ELITE
135,19:45:08 h,02.-12.04.2010,245km/6stages,"Ahansal, Mohamad",MAR,1973.0,1,M,1,M35,1,19.752222222222223,2010,ELITE
136,19:46:54 h,07.-13.04.2002,230km/6stages,"Diehl, Gilles",FRA,1960.0,3,M,3,M40,1,19.781666666666666,2002,ELITE
137,19:47:10 h,30.03.-05.04.2008,245.3km/6stages,"Al-Aqra, Salameh",JOR,1970.0,2,M,2,M35,2,19.78611111111111,2008,ELITE
138,19:47:38 h,29.03.-04.04.1998,229km/6stages,"Ait Amar, Mustapha",MAR,1974.0,8,M,8,M20,3,19.79388888888889,1998,ELITE
139,19:48:19 h,11.-22.04.1992,231km/6stages,"Ahansal, Lahcen",MAR,1971.0,3,M,3,M20,1,19.80527777777778,1992,ELITE
140,19:49:09 h,25.-31.03.2007,221km/6stages,"Akhdar, Lhoucine",MAR,1974.0,6,M,6,M30,2,19.819166666666668,2007,ELITE
141,19:49:33 h,09.-15.04.2017,250km/6stages,"Evans, Thomas",GBR,1992.0,3,M,3,M20,2,19.825833333333332,2017,ELITE
142,19:54:11 h,04.-10.04.1995,230km/6stages,"Kassmi, Ali",MAR,,4,M,4,#NA,,19.903055555555554,1995,ELITE
143,19:54:21 h,03.-12.04.1988,220km/6stages,"Vieregge, Karl",GER,,16,M,16,#NA,,19.90583333333333,1988,ELITE
144,19:54:22 h,03.-12.04.1988,220km/6stages,"Kinkopf, Wilhelm",GER,1942.0,17,M,17,M45,1,19.90611111111111,1988,ELITE
145,19:55:21 h,02.-12.04.1999,225km/6stages,"Ploner, Kurt",ITA,1961.0,11,M,11,M35,3,19.9225,1999,ELITE
146,19:55:46 h,29.03.-04.04.1993,200km/6stages,"Kononov, Aleksei",RUS,1960.0,2,M,2,M30,1,19.929444444444446,1993,ELITE
147,19:57:13 h,09.-18.04.1994,220km/6stages,"Boutelliez, Dominique",FRA,1954.0,9,M,9,M40,2,19.953611111111112,1994,ELITE
148,19:58:09 h,22.-28.04.1991,219km/6stages,"Flamand, Guy",FRA,1946.0,6,M,6,M45,1,19.969166666666666,1991,ELITE
149,19:58:28 h,09.-15.04.2006,212km/6stages,"Pasquio, David",FRA,1974.0,9,M,9,M30,3,19.974444444444444,2006,ELITE
150,19:59:07 h,03.-12.04.1988,220km/6stages,"Steffes, Gerd",GER,,18,M,18,#NA,,19.985277777777778,1988,ELITE
151,19:59:08 h,25.-31.03.2007,221km/6stages,"Ait Amar, Mustapha",MAR,1974.0,7,M,7,M30,3,19.985555555555557,2007,ELITE
152,19:59:21 h,08.-14.04.2012,250.7km/6stages,"Al-Aqra, Salameh",JOR,1970.0,1,M,1,M40,1,19.989166666666666,2012,ELITE
153,20:00:31 h,07.-12.04.1997,220km/6stages,"Sebtaoui, Hassan",FRA,,12,M,12,#NA,,20.00861111111111,1997,ELITE
154,20:00:45 h,01.-07.04.2001,243km/6stages,"Ait Amar, Mustapha",MAR,1974.0,3,M,3,M20,2,20.0125,2001,ELITE
155,20:01:16 h,29.03.-04.04.1993,200km/6stages,"Balhi, Jamel",FRA,,3,M,3,#NA,,20.02111111111111,1993,ELITE
156,20:01:16 h,29.03.-04.04.1993,200km/6stages,"Daviot, Jean-Pierre",FRA,,4,M,3,#NA,,20.02111111111111,1993,ELITE
157,20:01:28 h,08.-14.04.2018,237km/6stages,"El-Morabity, Mohamed",MAR,1992.0,2,M,2,M20,1,20.024444444444445,2018,ELITE
158,20:05:10 h,30.03.-04.04.2009,202.2km/4stages,"Davies, William James Lloyd",GBR,1974.0,13,M,13,M35,8,20.08611111111111,2009,ELITE
159,20:05:30 h,04.-10.04.2000,220km/6stages,"Pallares Colomina, Jose",ESP,1964.0,5,M,5,M35,1,20.091666666666665,2000,ELITE
160,20:05:39 h,19.-25.03.1989,209km/6stages,"Graig, Patrick",FRA,,10,M,10,#NA,,20.094166666666666,1989,ELITE
161,20:06:14 h,09.-18.04.1994,220km/6stages,"Morice, Pascal",FRA,,10,M,10,#NA,,20.10388888888889,1994,ELITE
162,20:07:07 h,03.-12.04.1988,220km/6stages,"El Jaoual, Brahim",MAR,1938.0,19,M,19,M50,2,20.11861111111111,1988,ELITE
163,20:07:51 h,07.-13.04.2019,237km/6stages,"Robert, Merile",FRA,1971.0,6,M,6,M45,1,20.130833333333335,2019,ELITE
164,20:07:57 h,07.-12.04.1997,220km/6stages,"Chakhte, Mohamed",MAR,1973.0,13,M,13,M20,4,20.1325,1997,ELITE
165,20:09:31 h,04.-10.04.1995,230km/6stages,"Malerba, Mario",ITA,1957.0,5,M,5,M35,1,20.15861111111111,1995,ELITE
166,20:12:02 h,04.-10.04.2000,220km/6stages,"Osuna Gomez, Francisco",ESP,,6,M,6,#NA,,20.200555555555553,2000,ELITE
167,20:16:01 h,30.03.-05.04.2008,245.3km/6stages,"El Akad, Aziz",MAR,1968.0,3,M,3,M40,1,20.266944444444444,2008,ELITE
168,20:17:16 h,03.-12.04.1988,220km/6stages,"Paron, Bernard",FRA,1955.0,20,M,20,M30,2,20.28777777777778,1988,ELITE
169,20:17:19 h,09.-15.04.2006,212km/6stages,"Trivel, Lionel",FRA,1970.0,10,M,10,M35,4,20.288611111111113,2006,ELITE
170,20:19:31 h,05.-15.04.2013,250.7km/6stages,"Capo Soler, Miguel",ESP,1974.0,3,M,3,M35,1,20.325277777777778,2013,ELITE
171,20:20:23 h,08.-14.04.2012,250.7km/6stages,"Ahansal, Mohamad",MAR,1973.0,2,M,2,M35,1,20.33972222222222,2012,ELITE
172,20:21:07 h,30.03.-04.04.2009,202.2km/4stages,"Tomaiuolo, Alessandro",ITA,1974.0,14,M,14,M35,9,20.351944444444445,2009,ELITE
173,20:21:26 h,02.-12.04.1999,225km/6stages,"Venditti, Ernesto",ITA,1969.0,12,M,12,M30,2,20.357222222222223,1999,ELITE
174,20:21:39 h,05.-11.04.2015,249km/6stages,"El Morabity, Rachid",MAR,1982.0,1,M,1,M30,1,20.360833333333336,2015,ELITE
175,20:22:09 h,06.-12.04.2003,243km/6stages,"Oulmyr, Hassan",MAR,1974.0,3,M,3,M20,1,20.36916666666667,2003,ELITE
176,20:22:26 h,05.-15.04.2013,250.7km/6stages,"Salaris, Antonio Filippo",ITA,1971.0,4,M,4,M40,3,20.37388888888889,2013,ELITE
177,20:22:46 h,04.-10.04.1995,230km/6stages,"Löw, Andras",HUN,1967.0,6,M,6,M20,2,20.379444444444445,1995,ELITE
178,20:23:14 h,30.03.-05.04.2008,245.3km/6stages,"Ait Amar, Mustapha",MAR,1974.0,4,M,4,M30,1,20.38722222222222,2008,ELITE
179,20:24:13 h,22.-28.04.1991,219km/6stages,"Mosta, Karim",MAR,1954.0,7,M,7,M35,3,20.40361111111111,1991,ELITE
180,20:24:22 h,09.-15.04.2006,212km/6stages,"Olmo, Marco",ITA,1948.0,11,M,11,M55,1,20.40611111111111,2006,ELITE
181,20:25:11 h,07.-12.04.1997,220km/6stages,"Joly, Jean-Michel",FRA,1966.0,14,M,14,M30,2,20.419722222222223,1997,ELITE
182,20:25:51 h,03.-12.04.1988,220km/6stages,"Calendro, Aldo",ITA,,21,M,21,#NA,,20.430833333333336,1988,ELITE
183,20:26:36 h,04.-10.04.1995,230km/6stages,"Clostermann, Markus",GER,1968.0,7,M,7,M20,3,20.443333333333335,1995,ELITE
184,20:27:37 h,06.-12.04.2014,244km/6stages,"El Morabity, Rachid",MAR,1982.0,1,M,1,M30,1,20.460277777777776,2014,ELITE
185,20:28:58 h,25.-31.03.2007,221km/6stages,"Akhdar, Samir",MAR,1981.0,8,M,8,M20,1,20.482777777777777,2007,ELITE
