rank_overall,performance,date,length,name,nationality,yob,rank_edition,gender,rank_gender,age_cat,rank_cat,finish_hours,year,tier
855,25:26:34 h,11.-17.04.2004,237km/6stages,"Strebinger, Ernst",AUT,1963.0,22,M,22,M40,6,25.442777777777778,2004,ELITE
856,25:26:49 h,06.-12.04.2003,243km/6stages,"Ulansky, Chad",CAN,1974.0,16,M,16,M20,4,25.446944444444444,2003,ELITE
857,25:27:26 h,15.-24.03.1990,220km/6stages,"Coenen, Luc",FRA,,23,M,22,#NA,,25.45722222222222,1990,ELITE
858,25:27:28 h,03.-09.10.2021,234km/6stages,"Elmoustahli, Abdelhadi",MAR,1981.0,8,M,8,M40,2,25.45777777777778,2021,ELITE
859,25:28:21 h,06.-12.04.2014,244km/6stages,"Tourlousse, Jochen",BEL,1979.0,16,M,16,M35,4,25.472499999999997,2014,ELITE
860,25:28:24 h,03.-12.04.1988,220km/6stages,"Bertola, Jean-Louis",FRA,,66,M,64,#NA,,25.473333333333333,1988,ELITE
861,25:28:24 h,25.03.-04.04.2022,250km/6stages,"Langley, Charles",GBR,1981.0,16,M,15,M40,5,25.473333333333333,2022,ELITE
862,25:28:25 h,11.-17.04.2004,237km/6stages,"Bouhaddioui, Abderrahmane",MAR,1968.0,23,M,23,M35,5,25.473611111111108,2004,ELITE
863,25:29:35 h,02.-12.04.2010,245km/6stages,"Cracknell, James",GBR,1973.0,12,M,12,M35,6,25.493055555555557,2010,ELITE
864,25:29:39 h,29.03.-04.04.1998,229km/6stages,"Lewis, Barry",CAN,,30,M,28,#NA,,25.49416666666667,1998,ELITE
865,25:29:54 h,04.-10.04.1995,230km/6stages,"Neuschwander, Philippe",FRA,1953.0,31,M,30,M40,4,25.498333333333335,1995,ELITE
866,25:30:19 h,03.-09.04.2011,250.7km/6stages,"Eveno, Lionel",FRA,1963.0,14,M,14,M45,1,25.505277777777778,2011,ELITE
867,25:30:26 h,09.-15.04.2006,212km/6stages,"Jeremy, Edward",GBR,1979.0,38,M,38,M20,4,25.50722222222222,2006,ELITE
868,25:30:26 h,09.-15.04.2006,212km/6stages,"Grant, Robert",GBR,1980.0,39,M,38,M20,4,25.50722222222222,2006,ELITE
869,25:30:37 h,01.-07.04.2001,243km/6stages,"Prosperi, Maurizio",ITA,1956.0,13,M,12,M45,2,25.510277777777777,2001,ELITE
870,25:30:41 h,05.-15.04.2013,250.7km/6stages,"Fournier, Christophe",FRA,1968.0,21,M,20,M45,2,25.511388888888888,2013,ELITE
871,25:30:47 h,07.-12.04.1997,220km/6stages,"Neuschwander, Philippe",FRA,1953.0,48,M,46,M40,9,25.513055555555557,1997,ELITE
872,25:30:55 h,10.-16.04.2016,257km/6stages,"Mauclair, Nathalie",FRA,1970.0,13,F,2,W45,1,25.51527777777778,2016,ELITE
873,25:31:26 h,30.03.-04.04.2009,202.2km/4stages,"Choules, David",GBR,1968.0,54,M,51,M40,9,25.523888888888887,2009,ELITE
874,25:31:58 h,25.-31.03.2007,221km/6stages,"Robuchon, Dominique",FRA,1964.0,39,M,37,M40,8,25.532777777777778,2007,ELITE
875,25:32:13 h,30.03.-04.04.2009,202.2km/4stages,"Kendall, Danny",GBR,1978.0,55,M,52,M30,7,25.536944444444448,2009,ELITE
876,25:32:13 h,07.-13.04.2002,230km/6stages,"Gutierrez Mougin, Arnaud",FRA,1968.0,29,M,29,M30,8,25.536944444444448,2002,ELITE
877,25:32:13 h,07.-12.04.1997,220km/6stages,"Massari, Domenico",ITA,1951.0,49,M,47,M45,4,25.536944444444448,1997,ELITE
878,25:32:24 h,30.03.-04.04.2009,202.2km/4stages,"Armstrong, Nigel",GBR,1968.0,56,M,53,M40,10,25.540000000000003,2009,ELITE
879,25:32:34 h,25.03.-04.04.2022,250km/6stages,"Cussot, Sylvaine",FRA,1982.0,17,F,2,W40,1,25.54277777777778,2022,ELITE
880,25:32:39 h,07.-12.04.1997,220km/6stages,"Claudon, Michel",FRA,1958.0,50,M,48,M35,6,25.54416666666667,1997,ELITE
