event_id,date,name,distance,finishers,year,finishers_n
121354,14.03.2026,Ultramaratona Caminhos de Caravaggio UMCC 75km (BRA),75km,35,2026,35
125161,14.03.2026,Welcome Way Ultramarathon 50mi (GBR),50mi,30,2026,30
125162,14.03.2026,Welcome Way Ultramarathon 34mi (GBR),34mi,74,2026,74
119986,14.03.2026,"IAU 50km WC, New Delhi (IND)",50km,69,2026,69
130255,14.03.2026,"IAU 50km WC, New Delhi - World Masters Athletics (IND)",50km,23,2026,23
130256,14.03.2026,"IAU 50km WC, New Delhi - Open (IND)",50km,4,2026,4
123050,14.03.2026,Tortola Torture Race (IVB),33.7mi,10,2026,10
126003,14.03.2026,Santa Barbara Nine Trails 35 Mile Endurance Run (USA),35mi,139,2026,139
126006,14.03.2026,The Cove (USA),50km,76,2026,76
125504,14.03.2026,Buzzard Day 50 Km Trail Race (USA),50km,16,2026,16
122717,13.-14.03.2026,Howard Aslinger 24 Hour Endurance Run (USA),24h,44,2026,44
122718,13.03.2026,Howard Aslinger 12 Hour Endurance Run (USA),12h,29,2026,29
120993,13.-14.03.2026,Viper 53km (USA),53km,48,2026,48
128989,13.-14.03.2026,Les 24h du Plan d'eau d'Apt (FRA),24h,19,2026,19
128990,13.-14.03.2026,Les 12h du Plan d'eau d'Apt (FRA),12h,8,2026,8
128991,13.-14.03.2026,Les 6h du Plan d'eau d'Apt (FRA),6h,6,2026,6
129648,13.-14.03.2026,BUP - 3. Dogrywka (POL),7h,4,2026,4
118049,13.03.2026,Herdy's Frontyard Ultra (AUS),50h,392,2026,392
130173,13.03.2026,Gold Coast Backyard Ultra (AUS),35h,114,2026,114
123267,13.03.2026,Ultramaratona Caminhos de Caravaggio UMCC 100mi (BRA),160km,13,2026,13
125674,13.-15.03.2026,The Drift 100 Mile Race (USA),100mi,11,2026,11
121353,13.03.2026,Ultramaratona Caminhos de Caravaggio UMCC 100km (BRA),100km,50,2026,50
120994,13.-14.03.2026,Viper 100 Mile (USA),100mi,25,2026,25
129960,13.-14.03.2026,Warbird (USA),100mi,27,2026,27
121351,12.03.2026,Ultramaratona Caminhos de Caravaggio UMCC 217km (BRA),217km,16,2026,16
120992,11.-14.03.2026,Viper 200 mile (USA),200mi,6,2026,6
120995,09.-14.03.2026,Viper 300 mile (USA),300mi,6,2026,6
128475,08.03.2026,Strasimeno - Ultramaratona nel parco del lago Trasimeno (ITA),58km,333,2026,333
128472,08.03.2026,Trail du Haut-Barr (FRA),51km,336,2026,336
126002,08.03.2026,Chili Peppers Series - Day 2 (USA),50km,4,2026,4
130125,08.03.2026,Beima Mountain Climbing Competition (CHN),50km,169,2026,169
128934,08.03.2026,Albiger 12-Stunden-Lauf (GER),12h,6,2026,6
128284,08.03.2026,Trail Urbain Angoumoisin (FRA),82km,72,2026,72
129767,08.03.2026,Fengdong 45 Km Ultra Run (TPE),45km,19,2026,19
129799,07.-08.03.2026,Tuffman Stadium Run New Delhi - 100km (IND),100km,11,2026,11
124179,07.03.2026,Trail Sud Touraine - solo (FRA),46km,441,2026,441
124180,07.03.2026,Trail Sud Touraine - duo (FRA),46km,48,2026,48
129559,07.03.2026,6 ore Monte Prealba 'UP and DOWN' (ITA),6h,1,2026,1
124454,07.03.2026,Mirrim Wurnit Back Paddock Backyard Ultra (AUS),21h,10,2026,10
123563,07.03.2026,Céven Trail - Trail aux étoiles (FRA),63km,336,2026,336
129265,07.03.2026,Winter Green Man Ultra 30 (GBR),30mi,43,2026,43
129635,07.03.2026,Trail des 3 Châteaux - La Grande Traversée (FRA),61km,151,2026,151
128433,07.03.2026,Lasseer Benefizlauf (AUT),6h,20,2026,20
