Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID,finish_hours,speed_float,tier,dist_km,speed_kmh_clean,pace_min_km
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:09:10 h,,GBR,,M,,5.346,1119733,41.15277777777778,5.346,MID,220.0,5.345933175835302,11.223484848484848
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:17:32 h,,GBR,,M,,5.328,1119734,41.29222222222222,5.328,MID,220.0,5.32787988052633,11.26151515151515
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:17:58 h,,FRA,1961.0,M,M35,5.327,1080443,41.29944444444444,5.327,MID,220.0,5.326948169870459,11.263484848484847
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:26:11 h,,FRA,1960.0,M,M40,5.309,1119735,41.436388888888885,5.309,MID,220.0,5.30934296880761,11.300833333333333
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:29:07 h,,MAR,1962.0,M,M35,5.303,1119736,41.48527777777778,5.303,MID,220.0,5.303086101495175,11.314166666666667
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:30:30 h,,FRA,1954.0,M,M45,5.3,1119737,41.50833333333333,5.3,MID,220.0,5.300140534029311,11.320454545454545
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:34:26 h,,GBR,1965.0,M,M23,5.292,861281,41.573888888888895,5.292,MID,220.0,5.291783036895486,11.338333333333335
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:35:24 h,,SUI,1972.0,M,M23,5.29,1050652,41.59,5.29,MID,220.0,5.289733108920413,11.342727272727274
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:37:31 h,,AUT,1948.0,M,M50,5.285,148528,41.625277777777775,5.285,MID,220.0,5.285250015014915,11.352348484848484
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:38:01 h,,USA,1961.0,M,M35,5.284,359432,41.63361111111111,5.284,MID,220.0,5.284192125753098,11.354621212121211
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:39:27 h,,ESP,,M,,5.281,1119738,41.6575,5.281,MID,220.0,5.281161855608234,11.361136363636364
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,41:39:27 h,,ESP,1967.0,M,M23,5.281,1119739,41.6575,5.281,MID,220.0,5.281161855608234,11.361136363636364
